Key ID,Pin Location,Interface
"April 1, 2021",8-15,2x PCIe x1 / USB 2.0 / I2C /DP x4
,12-19,PCIe x2 / SATA /USB 2.0 / USB 3.0 / HSIC / SSIC / Audio / UIM / I2C
,16-23,Reserved for Future Use
"January 1, 2022",20-27,Reserved for Future Use
,24-31,2x PCIe x1 / USB 2.0 / I2C / SDIO /UART / PCM
"July 9, 2021",28-35,Future Memory Interface (FMI)
,39-46,Not Used for M.2; for Custom/Non-Standard Apps
,43-50,Reserved for Future Use
"January 1, 2022",47-54,Reserved for Future Use
,51-58,Reserved for Future Use
"July 3, 2021",55-62,Reserved for Future Use
"July 5, 2021",59-66,PCIe x4 / SATA